,City,Lat,Lngs,Max Temp,Humidity,Cloudiness,Wind Speed,Date
353,Sioux Lookout,50.1001,-91.917,-18.4,69,90,16.11,1612672596
354,Kučevo,44.4775,21.67,50.0,67,75,5.01,1612672596
355,Maridi,4.9158,29.4742,63.28,28,7,4.85,1612672597
356,Kieta,-6.2167,155.6333,83.37,77,70,6.58,1612672597
357,Khatanga,71.9667,102.5,-34.6,78,0,9.01,1612672059
358,Khovd,48.0056,91.6419,16.97,83,0,3.56,1612672597
359,Amapá,1.0,-52.0,71.87,98,76,1.07,1612672597
360,Oodweyne,9.4092,45.064,64.53,66,0,4.12,1612672318
361,La Palma,33.8464,-118.0467,59.0,72,1,2.26,1612672597
362,Petropavl,54.8753,69.1628,12.2,79,75,31.32,1612672597
363,Yulara,-25.2406,130.9889,93.2,20,0,8.05,1612672598
364,Klaeng,12.7797,101.6483,95.0,52,1,5.39,1612672598
365,Brandon,27.9378,-82.2859,71.6,88,75,5.75,1612672598
366,Puri,19.8,85.85,75.2,43,0,9.22,1612672598
367,Nhulunbuy,-12.2333,136.7667,84.2,79,90,13.8,1612672525
368,Amahai,-3.3333,128.9167,87.01,64,66,6.73,1612672598
369,Hofn,64.2539,-15.2082,32.5,93,94,19.26,1612672231
370,Manokwari,-0.8667,134.0833,77.7,88,100,2.37,1612672598
371,Waterloo,43.4668,-80.5164,14.0,85,90,4.61,1612672581
372,Mount Gambier,-37.8333,140.7667,68.0,56,90,16.11,1612672169
373,Rawson,-43.3002,-65.1023,58.46,64,63,12.68,1612672599
374,Chebsara,59.2002,38.8356,1.4,78,90,4.47,1612672599
375,Maceió,-9.6658,-35.7353,75.2,94,20,4.61,1612672372
376,Ishigaki,24.3448,124.1572,75.2,64,20,9.22,1612672599
377,Pontian Kecil,1.4801,103.3899,87.8,62,20,9.22,1612672180
378,Bitung,1.4451,125.1824,87.8,66,40,6.91,1612672600
379,Luanda,-8.8368,13.2343,77.0,88,75,5.75,1612672600
380,Xinmin,41.9908,122.8253,23.0,42,0,6.71,1612672600
381,Hermiston,45.8404,-119.2895,48.99,61,1,28.77,1612672600
382,Alofi,-19.0595,-169.9187,84.2,74,100,11.5,1612672600
383,Zhalantun,48.0,122.7167,7.56,79,0,8.93,1612672600
384,Siyabuswa,-25.1132,29.0445,66.79,88,100,4.29,1612672601
385,Arrondissement de Millau,44.0833,2.9167,46.0,93,90,19.57,1612672601
